time (ms),x (m/s^2),y (m/s^2),z (m/s^2),B (Raw)
453144,0.76,1.43,-9.58,509
454168,0.76,1.43,-9.66,509
455192,0.73,1.47,-9.66,509
456222,0.80,1.39,-9.66,509
457246,0.80,1.39,-9.66,509
458270,0.76,1.43,-9.66,509
459295,0.76,1.39,-9.66,509
460319,0.76,1.39,-9.66,509
461343,0.73,1.43,-9.62,509
462367,0.76,1.43,-9.58,509
463391,0.76,1.39,-9.62,509
464416,0.80,1.39,-9.62,509
465440,0.76,1.47,-9.62,509
466464,0.84,1.35,-9.69,509
467488,0.84,1.39,-9.54,509
468512,0.80,-4.28,-8.61,509
469537,0.88,-4.96,-8.38,509
470561,0.88,-5.37,-8.03,510
471585,0.84,-5.37,-7.95,509
472609,0.99,-2.03,-10.00,509
473633,0.84,-6.12,-7.45,509
474664,0.91,-5.78,-7.61,509
475688,0.62,-1.65,-8.96,509
476712,0.69,-0.37,-9.00,509
477736,0.69,0.60,-9.50,509
478760,0.73,1.39,-9.62,509
479785,0.80,1.47,-9.58,509
480809,0.73,1.43,-9.62,509
481833,0.76,1.39,-9.58,509
482857,0.76,1.50,-9.62,509
483881,0.73,1.43,-9.66,509
484907,0.76,1.43,-9.62,509
485931,0.69,1.50,-9.66,509
486955,0.80,1.43,-9.66,509
487979,0.73,1.47,-9.58,509
489003,0.76,1.39,-9.69,509
490028,0.76,1.47,-9.62,509
491052,0.76,1.43,-9.66,509
492076,0.76,1.47,-9.81,509
493106,0.76,1.43,-9.66,509
494142,0.76,1.43,-9.69,509
495166,0.73,1.39,-9.66,509
496190,0.76,1.39,-9.62,509
497215,0.73,1.39,-9.58,509
498239,0.80,1.43,-9.66,509
499263,0.76,1.35,-9.62,509
500287,0.76,1.43,-9.69,509
501311,0.76,1.47,-9.69,509
502335,0.76,1.39,-9.66,509
503360,0.80,1.43,-9.66,509
504384,0.73,1.47,-9.85,509
505408,0.76,1.43,-9.66,509
506432,0.76,1.39,-9.73,509
507456,0.76,1.47,-9.69,509
508480,0.73,1.35,-9.66,509
509504,0.76,1.32,-9.58,509
510529,0.73,1.47,-9.62,509
511559,0.80,1.39,-9.58,509
512583,0.80,1.43,-9.50,509
513607,0.73,1.47,-9.54,509
514631,0.76,1.47,-9.50,509
515655,0.76,1.47,-9.50,509
516679,0.80,1.39,-9.58,509
517704,0.73,1.43,-9.58,509
518728,0.76,1.47,-9.50,509
519752,0.76,1.47,-9.46,509
520776,0.76,1.43,-9.62,509
521817,0.76,1.39,-9.42,509
522841,0.76,1.47,-9.54,509
523865,0.76,1.47,-9.50,509
524889,0.73,1.47,-9.58,509
525913,0.80,1.39,-9.54,509
526938,0.73,1.43,-9.58,509
527962,0.73,1.43,-9.58,509
528997,0.73,1.43,-9.54,509
530021,0.76,1.43,-9.58,509
531044,0.76,1.47,-9.62,509
532068,0.73,1.43,-9.62,509
533092,0.73,1.43,-9.54,509
534128,0.80,1.43,-9.62,509
535152,0.76,1.43,-9.62,509
536176,0.80,1.43,-9.66,509
537201,0.80,1.39,-9.62,509
538225,0.76,1.39,-9.62,509
539249,0.76,1.35,-9.58,509
540273,0.76,1.43,-9.85,509
541298,0.76,1.39,-9.66,509
542322,0.73,1.47,-9.66,509
543346,0.80,1.43,-9.77,509
544370,0.76,1.43,-9.58,509
545394,0.76,1.43,-9.66,509
546418,0.76,1.47,-9.62,509
547442,0.76,1.39,-9.66,509
548467,0.80,1.43,-9.62,509
549497,0.76,1.43,-9.66,509
550521,0.80,1.47,-9.73,509
551545,0.76,1.43,-9.58,509
552569,0.80,1.39,-9.58,509
553593,0.76,1.47,-9.62,509
554617,0.76,1.43,-9.62,509
555642,0.76,1.43,-9.62,509
556666,0.80,1.47,-9.62,509
557690,0.76,1.43,-9.62,509
558714,0.76,1.43,-9.62,509
559738,0.80,1.43,-9.58,509
560762,0.73,1.47,-9.85,509
561786,0.76,1.43,-9.66,509
562811,0.76,1.39,-9.66,509
563835,0.80,1.47,-9.66,509
564859,0.76,1.47,-9.66,509
565883,0.76,1.43,-9.62,509
566907,0.80,1.43,-9.62,509
567950,0.80,1.39,-9.62,509
568974,0.76,1.43,-9.66,509
569998,0.73,1.47,-9.77,509
571023,0.76,1.47,-9.62,509
572047,0.76,1.39,-9.62,509
573071,0.76,1.43,-9.58,509
574095,0.76,1.43,-9.62,509
575119,0.73,1.28,-9.62,509
576143,0.80,1.47,-9.62,509
577167,0.80,1.43,-9.62,509
578192,0.80,1.39,-9.62,509
579216,0.80,1.43,-9.58,509
580240,0.76,1.39,-9.62,509
581264,0.80,1.32,-9.50,509
582288,0.76,1.47,-9.62,509
583312,0.76,1.43,-9.58,509
584337,0.76,1.43,-9.66,509
585361,0.80,1.43,-9.62,509
586391,0.73,1.50,-9.62,509
587415,0.76,1.43,-9.62,509
588439,0.76,1.47,-9.62,509
589463,0.76,1.47,-9.62,509
590487,0.80,1.39,-9.62,509
591512,0.80,1.43,-9.62,509
592536,0.73,1.47,-9.58,509
593560,0.80,1.43,-9.62,509
594584,0.76,1.47,-9.58,509
595608,0.76,1.47,-9.58,509
596632,0.80,1.50,-9.62,509
597657,0.73,1.47,-9.58,509
598696,0.76,1.47,-9.62,509
599720,0.80,1.47,-9.62,509
600744,0.76,1.50,-9.58,509
601768,0.80,1.39,-9.58,509
602792,0.76,1.50,-9.58,509
603817,0.80,1.43,-9.58,509
604841,0.76,1.47,-9.66,509
605883,0.80,1.43,-9.62,509
606907,0.80,1.47,-9.62,509
607931,0.76,1.47,-9.54,509
608955,0.73,1.50,-9.66,509
609980,0.80,1.43,-9.62,509
611004,0.80,1.50,-9.54,509
612028,0.73,1.47,-9.58,509
613052,0.76,1.47,-9.62,509
614076,0.80,1.47,-9.58,509
615100,0.76,1.47,-9.54,509
616124,0.76,1.50,-9.46,509
617148,0.76,1.47,-9.42,509
618184,0.73,1.47,-9.46,509
619208,0.80,1.43,-9.58,509
620233,0.76,1.54,-9.50,509
621257,0.76,1.47,-9.46,509
622281,0.76,1.47,-9.50,509
623305,0.80,1.47,-9.42,509
624335,0.76,1.50,-9.46,509
625359,0.76,1.50,-9.50,509
626383,0.80,1.47,-9.39,509
627407,0.76,1.50,-9.39,509
628431,0.76,1.47,-9.46,509
629456,0.76,1.39,-9.35,509
630480,0.76,1.28,-9.39,509
631504,0.73,1.35,-9.39,509
632528,0.84,1.43,-9.42,509
633552,0.76,1.47,-9.42,509
634576,0.76,1.47,-9.42,509
635600,0.76,1.43,-9.46,509
636624,0.76,1.50,-9.46,509
637649,0.76,1.50,-9.39,509
638673,0.73,1.47,-9.42,509
639697,0.76,1.50,-9.42,509
640721,0.76,1.47,-9.42,509
641745,0.80,1.43,-9.42,509
642788,0.76,1.47,-9.42,509
643812,0.80,1.50,-9.46,509
644836,0.76,1.47,-9.58,509
645861,0.76,1.54,-9.54,509
646885,0.73,1.43,-9.46,509
647909,0.76,1.50,-9.50,509
648933,0.80,1.50,-9.35,509
649957,0.76,1.47,-9.39,509
650981,0.76,1.50,-9.46,509
652005,0.76,1.50,-9.46,509
653029,0.80,1.50,-9.42,509
654054,0.76,1.50,-9.46,509
655078,0.76,1.47,-9.50,509
656102,0.73,1.47,-9.50,509
657126,0.76,1.47,-9.46,509
658150,0.73,1.47,-9.42,509
659174,0.73,1.47,-9.54,509
660198,0.76,1.50,-9.54,509
661222,0.76,1.47,-9.39,509
662371,0.80,1.43,-9.42,509
663395,0.80,1.47,-9.39,509
664419,0.73,1.47,-9.35,509
665443,0.80,1.47,-9.42,509
666467,0.80,1.43,-9.42,509
667491,0.76,1.43,-9.50,509
668516,0.76,1.39,-9.42,509
669540,0.76,1.47,-9.62,509
670564,0.80,1.43,-9.54,509
671588,0.76,1.39,-9.58,509
672612,0.76,1.43,-9.50,509
673636,0.76,1.43,-9.62,509
674660,0.76,1.47,-9.54,509
675699,0.73,1.50,-9.62,509
676724,0.76,1.43,-9.54,509
677748,0.76,1.43,-9.54,509
678772,0.76,1.43,-9.54,509
679796,0.76,1.50,-9.58,509
680978,0.76,1.47,-9.58,509
682002,0.80,1.47,-9.54,509
683026,0.80,1.50,-9.58,509
684061,0.80,1.43,-9.58,509
685085,0.73,1.47,-9.58,509
686109,0.80,1.47,-9.54,509
687133,0.76,1.47,-9.62,509
688157,0.73,1.47,-9.58,509
689182,0.76,1.50,-9.54,509
690206,0.76,1.47,-9.58,509
691230,0.80,1.43,-9.62,509
692254,0.80,1.50,-9.58,509
693278,0.76,1.50,-9.54,509
694302,0.80,1.39,-9.58,509
695326,0.76,1.50,-9.62,509
696350,0.73,1.28,-9.62,509
697375,0.73,1.50,-9.69,509
698399,0.76,1.47,-9.58,509
699571,0.73,1.43,-9.58,509
700607,0.76,1.47,-9.62,509
701631,0.73,1.47,-9.58,509
702655,0.76,1.47,-9.50,509
703679,0.73,1.43,-9.62,509
704704,0.76,1.50,-9.54,509
705728,0.76,1.47,-9.58,509
706752,0.73,1.43,-9.66,509
707776,0.76,1.62,-9.54,509
708800,0.76,1.50,-9.54,509
709824,0.80,1.47,-9.54,509
710848,0.76,1.47,-9.54,509
711872,0.76,1.47,-9.50,509
712896,0.76,1.47,-9.58,509
713920,0.80,1.47,-9.54,509
714944,0.80,1.32,-9.50,509
715969,0.99,2.74,-9.77,509
716993,0.76,1.47,-9.58,509
718172,0.76,1.43,-9.50,509
719196,0.76,1.43,-9.54,509
720232,0.76,1.47,-9.54,509
721256,0.80,1.43,-9.54,509
722280,0.80,1.43,-9.58,509
723304,0.73,1.50,-9.54,509
724328,0.76,1.43,-9.35,509
725352,0.76,1.47,-9.50,509
726377,0.80,1.47,-9.50,509
727401,0.80,1.47,-9.42,509
728425,0.76,1.47,-9.42,509
729449,0.76,1.43,-9.50,509
730473,0.76,1.47,-9.73,509
731497,0.76,1.43,-9.46,509
732521,0.80,1.47,-9.46,509
733545,0.76,1.47,-9.46,509
734569,0.73,1.50,-9.54,509
735593,0.76,1.50,-9.50,509
736617,0.76,1.50,-9.58,509
737802,0.76,1.47,-9.54,509
738826,0.76,1.47,-9.50,509
739850,0.76,1.47,-9.54,509
740874,0.76,1.47,-9.46,509
741898,0.80,1.43,-9.50,509
742922,0.76,1.50,-9.46,509
